id,title,description,link,image_link,additional_image_link,price,availability,condition,brand,mpn,gtin,product_type,google_product_category,shipping_country,shipping_service,shipping_price,shipping_weight,min_handling_time,max_handling_time,min_transit_time,max_transit_time,tax_country,tax_rate,country_of_origin,identifier_exists
16,Black Wireless Bluetooth Earbuds TWS Charging Case,Black Wireless Bluetooth Earbuds TWS Charging Case. Available in Black.,https://www.yeatru.com/product-16.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-001.png,,20.94 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-001,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
17,White Wireless Bluetooth Earbuds TWS Charging Case,White Wireless Bluetooth Earbuds TWS Charging Case. Available in White.,https://www.yeatru.com/product-17.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-002.png,,19.40 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-002,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
18,White Wireless Bluetooth Earbuds TWS Charging Case,White Wireless Bluetooth Earbuds TWS Charging Case. Available in White.,https://www.yeatru.com/product-18.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-003.png,,3.95 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-003,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
19,Black Bluetooth Speaker Portable Wireless,Black Bluetooth Speaker Portable Wireless. Available in Black.,https://www.yeatru.com/product-19.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-004.png,,21.46 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-004,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
20,Black Bluetooth Speaker Portable Wireless,Black Bluetooth Speaker Portable Wireless. Available in Black.,https://www.yeatru.com/product-20.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-005.png,,18.54 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-005,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
21,Bluetooth Speaker Portable Wireless,Bluetooth Speaker Portable Wireless. Available in Blue.,https://www.yeatru.com/product-21.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-006.png,,1.89 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-006,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
22,Bluetooth Speaker Portable Wireless,Bluetooth Speaker Portable Wireless. Available in Blue.,https://www.yeatru.com/product-22.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-007.png,,12.01 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-007,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
23,Bluetooth Speaker Portable Wireless,Bluetooth Speaker Portable Wireless. Available in Blue.,https://www.yeatru.com/product-23.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-008.png,,13.22 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-008,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
24,Wired Earphones In-Ear Black Silver 100 Pack,Wired Earphones In-Ear Black Silver 100 Pack. Available in Black.,https://www.yeatru.com/product-24.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-009.png,,2.99 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-009,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
25,Interview Microphone Portable Professional,Interview Microphone Portable Professional.,https://www.yeatru.com/product-25.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-010.png,,2.06 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-010,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,portable handheld (130mm × 23mm ± 5mm),3,7,7,35,US,0.00,CN,no
26,Wireless Bluetooth Earbuds TWS Charging Case,Wireless Bluetooth Earbuds TWS Charging Case. Available in Blue.,https://www.yeatru.com/product-26.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-011.png,,1.97 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-011,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
27,Q71 Wireless Bluetooth Earbuds with Charging Case Blue Purple,Q71 Wireless Bluetooth Earbuds with Charging Case Blue Purple. Available in Blue.,https://www.yeatru.com/product-27.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-012-001.png,,2.75 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-012,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
28,White Earphones Wired In-Ear,White Earphones Wired In-Ear. Available in Black.,https://www.yeatru.com/product-28.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-013-001.png,,2.23 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-013,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
29,White Sleep Earbuds Bluetooth Thin,White Sleep Earbuds Bluetooth Thin. Available in Black.,https://www.yeatru.com/product-29.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUS-014.png,,8.00 USD,in_stock,new,Yeatru Sourcing,YCS-AUS-014,,Home & Garden > Audio/Electronics,,US,Standard DDP,0.00 USD,in-ear (s/m/l silicone tips),3,7,7,35,US,0.00,CN,no
30,Parking Number Sign Car Dashboard Custom,Parking Number Sign Car Dashboard Custom.,https://www.yeatru.com/product-30.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-001.jpg,,0.15 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-001,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
31,Auto Accessory Car Inkjet Sticker,Auto Accessory Car Inkjet Sticker.,https://www.yeatru.com/product-31.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-002.png,,1.63 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-002,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
32,Steering Wheel Cover Anti-Slip Universal,Steering Wheel Cover Anti-Slip Universal.,https://www.yeatru.com/product-32.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-003.png,,0.13 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-003,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
33,Car Vacuum Cleaner Portable Auto 12V,Car Vacuum Cleaner Portable Auto 12V.,https://www.yeatru.com/product-33.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-AUT-004.png,,1.63 USD,in_stock,new,Yeatru Sourcing,YCS-AUT-004,,Home & Garden > Auto Accessories,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
